basin_id,date,obs_et_mm_day,sim_et_mm_day,panel,Q_obs_mean_mm_day,Q_routed_mean_mm_day,nsidc_swe_mm,model_swe_mm,obs_twsa_mm,sim_twsa_mm
1013500,2002-01-31,0.27457229034810127,0.14402756514027715,ET,,,,,,
1013500,2002-02-28,0.35374678599683546,0.20355264453223756,ET,,,,,,
1013500,2002-03-31,0.7893879178204114,0.584249091334641,ET,,,,,,
1013500,2002-04-30,1.2571397226068037,1.5241037588566542,ET,,,,,,
1013500,2002-05-31,1.4058923391350213,2.4430133452018103,ET,,,,,,
1013500,2002-06-30,2.5079840165150316,3.2763346768915653,ET,,,,,,
1013500,2002-07-31,3.6937691604034812,3.514896035194397,ET,,,,,,
1013500,2002-08-31,3.3659989369066463,1.7317552901804447,ET,,,,,,
1013500,2002-09-30,2.1006931739517403,1.624097427353263,ET,,,,,,
1013500,2002-10-31,0.7020934285996837,0.899632416665554,ET,,,,,,
1013500,2002-11-30,0.39750873549578064,0.3910423293709755,ET,,,,,,
1013500,2002-12-31,0.24985042523734177,0.15132031950633973,ET,,,,,,
1013500,2003-01-31,0.21912486402294307,0.06538403203467169,ET,,,,,,
1013500,2003-02-28,0.33704015031645573,0.12481280472161416,ET,,,,,,
1013500,2003-03-31,0.7349927684928798,0.5299845399831611,ET,,,,,,
1013500,2003-04-30,1.3853645421281646,1.4335136692970991,ET,,,,,,
1013500,2003-05-31,1.4316183742088608,2.4865033477544785,ET,,,,,,
1013500,2003-06-30,2.656152961827532,3.42856103181839,ET,,,,,,
1013500,2003-07-31,3.5628569397745258,2.879232607781887,ET,,,,,,
1013500,2003-08-31,3.13164433346519,3.1428484693169594,ET,,,,,,
1013500,2003-09-30,2.1992261669303796,1.7196483463048935,ET,,,,,,
1013500,2003-10-31,0.6553037232990507,0.9931935649365187,ET,,,,,,
1013500,2003-11-30,0.4028806533491562,0.4274777453392744,ET,,,,,,
1013500,2003-12-31,0.2852953174446203,0.2342073874315247,ET,,,,,,
1013500,2004-01-31,0.23878065664556963,0.10208858346300076,ET,,,,,,
1013500,2004-02-29,0.3515791880933544,0.17765713806329586,ET,,,,,,
1013500,2004-03-31,0.7627327061906646,0.6016084258444607,ET,,,,,,
1013500,2004-04-30,1.0963354183148735,1.6749593019485474,ET,,,,,,
1013500,2004-05-31,1.706312734869462,2.7452285327017307,ET,,,,,,
1013500,2004-06-30,2.6826995978375527,3.1516680965820947,ET,,,,,,
1013500,2004-07-31,3.3451987737341775,3.540785826742649,ET,,,,,,
1013500,2004-08-31,2.719586876977848,3.048457443714142,ET,,,,,,
1013500,2004-09-30,1.8906070757515825,2.1599463261663914,ET,,,,,,
1013500,2004-10-31,0.7178346271756328,0.97122797742486,ET,,,,,,
1013500,2004-11-30,0.42089720134493674,0.37767739966511726,ET,,,,,,
1013500,2004-12-31,0.24746989962420884,0.1952195802005008,ET,,,,,,
1013500,2005-01-31,0.21357885433148738,0.1055219337881681,ET,,,,,,
1013500,2005-02-28,0.38062388746044307,0.2259221979438735,ET,,,,,,
1013500,2005-03-31,0.8047384913963609,0.5478630639695439,ET,,,,,,
1013500,2005-04-30,1.2928352452531648,1.705906568095088,ET,,,,,,
1013500,2005-05-31,1.4256720563027427,2.180686886111895,ET,,,,,,
1013500,2005-06-30,2.8802916707871837,3.4586273469030857,ET,,,,,,
1013500,2005-07-31,3.908375877670095,3.2505798041820526,ET,,,,,,
1013500,2005-08-31,3.254929786392406,1.9368074722588062,ET,,,,,,
1013500,2005-09-30,1.9915307926226267,2.187568750232458,ET,,,,,,
1013500,2005-10-31,0.7675459849683546,1.0053384443745017,ET,,,,,,
1013500,2005-11-30,0.3748471288238397,0.42833181098103523,ET,,,,,,
1013500,2005-12-31,0.29099739171281647,0.18689928046660498,ET,,,,,,
1013500,2006-01-31,0.22966957575158228,0.15225120353716193,ET,,,,,,
1013500,2006-02-28,0.3654680083069621,0.21732218289912453,ET,,,,,,
1013500,2006-03-31,0.8299572908425633,0.6329972458524935,ET,,,,,,
1013500,2006-04-30,1.2169532486155066,1.876098845154047,ET,,,,,,
1013500,2006-05-31,1.5172320015822784,2.5755961338678994,ET,,,,,,
1013500,2006-06-30,3.1001233064675637,3.6077250987291336,ET,,,,,,
