basin_id,n_twsa,r_asrz_twsa,n_sm,r_asrz_sm,r_sa_sm,lat,lon,area_km2,p_mean,pet_mean,p_seasonality,frac_snow,aridity,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,elev_mean,slope_mean,area_gages2,frac_forest,lai_max,lai_diff,gvf_max,gvf_diff,dom_land_cover_frac,dom_land_cover,root_depth_50,soil_depth_pelletier,soil_depth_statsgo,soil_porosity,soil_conductivity,max_water_content,sand_frac,silt_frac,clay_frac,geol_1st_class,glim_1st_class_frac,geol_2nd_class,glim_2nd_class_frac,carbonate_rocks_frac,geol_porostiy,geol_permeability,NSE,KGE,R2,FLV,FHV,low_flow_NSE,high_flow_NSE,ET_over_P,Q_over_P,alpha_mean,theta_cap_mean,aSrz_capacity_mm,mean_aSrz_mm,aridity_index,mean_lai,mean_realized_arz_mm,p95_realized_arz_mm,max_realized_arz_mm,mean_relative_soil_storage
1013500,99,0.756941915481312,97,0.5466108699169779,0.546610869916978,47.23739,-68.58264,2252.7,3.126679,1.9715545,0.18794025,0.31344035,0.63055867,12.95,1.3489584,202.2,3.4271185,250.31,21.64152,2252.7,0.9063,4.167304,3.3407319,0.8045674,0.37164816,0.88345194,7.0,,7.404762,1.248408,0.46114874,1.1065224,0.5580548,27.841827,55.15694,16.275732,10.0,0.81590444,,0.17972945,0.0,0.1714,-14.7019,0.8830473572015762,0.921812411526054,0.8930290889633022,-117.96331415616974,1.5959051043342491,-3.8753738403320312,0.809081569314003,0.469161486119915,0.5230893520271808,0.3899220824241638,127.60572052001952,110.1427993774414,65.00605010986328,0.6305586695671082,1.5626871585845947,65.00605638768252,102.07320022583008,110.14280319213869,0.5726463178762922
1022500,0,,103,0.635430450726144,0.635430450726144,44.60797,-67.93524,573.6,3.608126,2.119256,-0.11452959,0.245259,0.58735645,20.55,1.2052786,233.65,3.6622257,92.68,17.79072,573.6,0.9232,4.8713923,3.7466917,0.86393577,0.33771247,0.82049346,7.0,0.23743454,17.412807,1.4918455,0.41590548,2.375005,0.62622887,59.390156,28.080936,12.037645,0.0,0.5906582,,0.16461821,0.0,0.071,-14.2138,0.7878441512584686,0.8875090670071709,0.7959928832035944,-111.51118618637518,-18.379871880154408,-0.9799298048019408,0.5683569014072418,0.3923934335422873,0.6029469074913901,0.3691116273403168,139.207275390625,119.05850219726562,72.49835205078125,0.587356448173523,2.096466302871704,72.49835936208127,111.21125106811525,119.05851364135742,0.5515338804235581
1030500,99,0.7799148955927995,103,0.4636012790094994,0.4636012790094994,45.50097,-68.30596,3676.17,3.2744052,2.0435936,0.04735819,0.2770184,0.6241114,17.15,1.2077465,215.6,3.5142624,143.8,12.79195,3676.17,0.8782,4.6851997,3.665543,0.85850203,0.3513934,0.975258,7.0,,19.011414,1.4613632,0.45909098,1.2898073,0.6530198,32.23546,51.779182,14.776824,10.0,0.5733054,,0.28701,0.052140094,0.1178,-14.4918,0.8676862269639969,0.9077434477842288,0.8679637033979847,-75.89523640297946,-9.106768186839506,-2.7506914138793945,0.6870305240154266,0.4434487158365028,0.5525383466898475,0.3806198239326477,95.65245819091795,88.4645004272461,53.238677978515625,0.6241114139556885,1.873459815979004,53.23867620371362,83.16648020744323,88.46448588371277,0.5864145120226407
1031500,99,0.684764976641357,101,0.31976128967798684,0.319761289677987,45.17501,-69.3147,769.05,3.5229568,2.0713236,0.1040906,0.29183647,0.58795035,18.9,1.1489362,227.35,3.473644,247.8,29.56035,769.05,0.9548,4.9032593,3.9908433,0.8706685,0.3986194,1.0,7.0,0.25,7.2525573,1.2790469,0.45023596,1.3732917,0.55912274,35.26903,50.841232,12.654125,10.0,0.44892785,,0.44386283,0.026257979,0.0747,-14.841,0.8260756582021713,0.883809981214239,0.8279264163021705,-1.2563645523485478,-18.7067546857375,-9.38542652130127,0.7243724763393402,0.3804908612553611,0.6147040229613494,0.3169388175010681,69.3407211303711,61.88453674316406,39.86259841918945,0.5879503488540649,2.0413265228271484,39.86259888249345,59.030759286880496,61.88454079627991,0.6044846405283815
1047000,0,,100,0.2970565839644097,0.29705658396440965,44.8692,-69.9551,909.1,3.3231459,2.0900238,0.14777562,0.28011814,0.6289293,20.1,1.1652174,235.9,3.6917057,310.38,49.92122,909.1,0.9906,5.0868106,4.300978,0.89138275,0.4454732,0.85045,7.0,0.241027,5.359655,1.3927785,0.42274895,2.6151543,0.56118083,55.16313,34.185444,10.303622,7.0,0.30848804,,0.28861254,0.0,0.0522,-14.4819,0.8017002493143082,0.8301653608038362,0.8052678717560785,-124.27582557632252,-34.42462842827566,-1.7474608421325684,0.6672423779964447,0.3931042427799177,0.6011756914251707,0.3356828987598419,87.16468048095703,74.33795166015625,47.88010025024414,0.6289293169975281,2.028841257095337,47.88010331639671,71.16113638877867,74.33795523643494,0.579602621718392
1052500,0,,99,0.6028919545562438,0.6028919545562437,44.87739,-71.05749,383.82,3.7308583,2.0964231,0.15209681,0.35269827,0.56191444,13.5,1.1297071,193.5,2.8967066,615.7,60.05183,383.82,1.0,4.80083,4.124313,0.880034,0.47732794,0.59358835,7.0,0.22561531,1.3013493,1.4948075,0.45232564,1.2629954,0.615538,30.557667,52.614647,11.143326,10.0,0.49745834,,0.3740617,0.0,0.0711,-15.1658,0.8292294293642044,0.7906071270996144,0.840807429844915,32.37221443067681,-25.93443539716785,-5.949243068695068,0.7419030964374542,0.3680264381355584,0.626471429966551,0.2863217890262604,86.96245574951172,79.29219818115234,54.43433380126953,0.5619144439697266,1.9641575813293457,54.43432183412767,74.83516216278076,79.29218578338623,0.6604008474955066
1054200,0,,103,0.545779220403719,0.545779220403719,44.39044,-70.97964,180.98,4.067132,2.128355,0.10495964,0.29964155,0.52330613,17.5,1.1945393,220.3,3.2637036,472.31,90.13951,180.98,1.0,5.0198274,4.283551,0.8867115,0.4550843,0.58095384,7.0,0.22485723,0.9147541,1.4774421,0.41846088,2.9191425,0.59452593,58.376167,31.836472,9.851262,7.0,0.8714428,,0.1042952,0.0,0.0288,-14.2147,0.6894312798976898,0.7851268844740403,0.690745674434304,-16.882317848955495,-34.07656389635637,-6.974437713623047,0.5754252374172211,0.3206732594799197,0.6741736365240807,0.2832151651382446,75.91900634765625,63.591007232666016,43.6889533996582,0.523306131362915,2.1470961570739746,43.68894542836647,60.67994027137756,63.59099984169006,0.6187774121077473
1055000,99,0.7181016794784084,100,0.535043960617893,0.5350439606178932,44.64275,-70.58878,250.64,3.4941835,2.0932353,0.16722904,0.30604884,0.5990628,19.15,1.1676829,224.85,3.3786626,423.12,72.81304,250.64,0.9916,5.030033,4.319226,0.8861635,0.47143146,0.52424884,7.0,0.22145493,2.1270587,1.3696566,0.42402586,2.5500011,0.5470206,53.86201,34.734493,10.346323,10.0,0.68084335,,0.16836315,0.0,0.1455,-14.3578,0.7143291234970093,0.8204177624562152,0.7193451032106429,-12.503805693533716,-46.78101522578597,-2.999866485595703,0.5738577842712402,0.3594228519833775,0.6343650961314506,0.3073185384273529,71.0749282836914,69.04802703857422,43.57882308959961,0.5990628004074097,2.003358602523804,43.578811812039646,62.14636294841766,69.0480135679245,0.6334746526115326
1057000,0,,99,0.4661268586496031,0.4661268586496031,44.30399,-70.53968,190.92,3.5704997,2.1327438,0.07913685,0.25115767,0.5973236,20.35,1.1695403,239.3,3.7478466,215.59,32.68445,190.92,0.9415,5.362949,4.587077,0.9055105,0.45874202,0.53278065,3.0,0.2091862,3.7591465,1.5,0.40411794,4.030392,0.61710024,69.00674,22.943293,7.817565,7.0,0.45111063,,0.4092404,0.077433415,0.0251,-13.9903,0.7377230823040009,0.744037855125609,0.8162574455950209,0.4003401776190972,11.619805708044275,-4.52200984954834,0.5872337222099304,0.3813759573230041,0.6132393498313896,0.3313879370689392,106.88861846923828,90.11840057373048,58.47431182861328,0.5973235964775085,2.2090158462524414,58.47430009366735,86.47164878845214,90.11838722229004,0.5936673136433877
1073000,0,,102,0.5720617521281943,0.5720617521281942,43.1487,-70.96506,31.3,3.5030253,2.2076156,0.030370012,0.17503244,0.6302026,20.85,1.2264706,249.0,4.016129,37.67,4.75043,31.3,0.9008,4.9439497,4.035088,0.84142065,0.3791442,0.59243226,7.0,0.22147025,19.90909,1.3056196,0.41639653,2.9486704,0.51006174,56.57096,29.155056,9.967266,7.0,0.9433752,,0.056624804,0.0,0.01,-14.1,0.880825512111187,0.8233332960495874,0.8892451884812652,62.95792790351074,-12.641725740745294,-13.232782363891602,0.8561541587114334,0.4191647840960433,0.5787627865392017,0.3819148540496826,176.76930236816406,145.27249145507812,83.78258514404297,0.63020259141922,2.3565239906311035,83.78259623775214,133.2475994110107,145.27253532409668,0.5230390960292243
