basin_id,date,SNOWPACK_mm,MELTWATER_mm,Sa_mm,GW_mm,TWS_sim_mm,TWSA_sim_mm
1013500,1995-10-31,7.6074095e-05,7.7812336e-05,49.485499105145855,13.777042,63.262695757351345,-126.40033246536171
1013500,1995-11-30,4.6097875,0.019695673,98.06425959269205,50.00764,152.70138379521424,-36.96164442749881
1013500,1995-12-31,53.20271,0.0015366705,101.12339339717742,32.56002,186.88765922020684,-2.77536900250621
1013500,1996-01-31,102.56032,0.718828,100.53359197801159,25.985008,229.79775128651488,40.13472306380183
1013500,1996-02-29,196.72523,2.579338,102.29053602547481,28.784504,330.3796140151043,140.71658579239127
1013500,1996-03-31,203.67389,4.718401,102.93676462481099,30.353012,341.6820671289198,152.01903890620676
1013500,1996-04-30,147.0818,6.8583617,101.53274765014649,40.16169,295.63459781805676,105.97156959534371
1013500,1996-05-31,3.998576,0.27059555,96.41063567130796,36.631733,137.3115426944043,-52.35148552830876
1013500,1996-06-30,7.247375e-05,7.78504e-05,55.932687505086264,25.443676,81.37651534998585,-108.2865128727272
1013500,1996-07-31,7.2408824e-05,7.784993e-05,53.97984043244393,42.169567,96.14955964516905,-93.513468577544
1013500,1996-08-31,7.2425675e-05,7.785019e-05,31.638333474436113,44.10709,75.74557620773703,-113.91745201497602
1013500,1996-09-30,7.25536e-05,7.785108e-05,44.56082846323649,50.872482,95.43345887890246,-94.2295693438106
1013500,1996-10-31,0.0029505189,7.8460514e-05,65.2108858170048,64.426,129.63991988295123,-60.02310833976182
1013500,1996-11-30,2.7195642,0.0037666904,82.06499964396158,72.79899,157.5873215716565,-32.07570665105655
1013500,1996-12-31,21.34139,0.12679183,95.81881123204386,71.6913,188.97828734822917,-0.6847408744838788
1013500,1997-01-31,134.90692,0.00010474388,95.23004544165826,53.82407,283.9611538545336,94.29812563182057
1013500,1997-02-28,242.20409,0.00010475705,91.7091680254255,43.156536,377.0698966871122,187.40686846439914
1013500,1997-03-31,321.84683,0.51557463,84.78450282927483,37.727055,444.8739750129497,255.21094679023665
1013500,1997-04-30,266.76434,11.374889,87.09490152994792,45.460037,410.69417044321693,221.03114222050388
1013500,1997-05-31,36.741352,1.945403,110.20272211874685,71.28937,220.17885027863056,30.51582205591751
1013500,1997-06-30,7.2496354e-05,7.78506e-05,61.153116099039714,41.803566,102.95683153489833,-86.70619668781472
1013500,1997-07-31,7.241271e-05,7.7850425e-05,37.761394562259795,45.695683,83.45722931990683,-106.20579890280622
1013500,1997-08-31,7.246683e-05,7.785011e-05,31.292404513205252,45.47138,76.76393303350238,-112.89909518921067
1013500,1997-09-30,7.255231e-05,7.785085e-05,37.93847503662109,52.652298,90.59092417634456,-99.0721040463685
1013500,1997-10-31,2.0946567,0.068672255,40.69456801875945,52.06796,94.92585491179888,-94.73717331091417
1013500,1997-11-30,3.9713888,0.028723085,63.073824946085615,58.272106,125.34604371158227,-64.31698451113078
1013500,1997-12-31,55.50204,0.0007471979,64.6502427131899,49.4366,169.58962958263427,-20.07339864007878
1013500,1998-01-31,153.91347,0.00010475097,62.195555163967995,40.099655,256.2087749671933,66.54574674448023
1013500,1998-02-28,213.91263,0.1378888,59.01780986785889,35.127216,308.1955449631774,118.53251674046433
1013500,1998-03-31,233.8612,6.900832,77.23055242723034,43.58567,361.57825624558234,171.9152280228693
1013500,1998-04-30,132.13094,7.9333262,102.34252649943033,59.572918,301.97970651785533,112.31667829514228
1013500,1998-05-31,1.484678,0.100330934,82.72083971577305,39.909805,124.21565406302045,-65.4473741596926
1013500,1998-06-30,7.2482384e-05,7.785022e-05,43.0732395807902,28.2703,71.34369039710533,-118.31933782560772
1013500,1998-07-31,7.2407405e-05,7.785027e-05,44.27436176423104,42.807613,87.08212576388318,-102.58090245882987
1013500,1998-08-31,7.244951e-05,7.785044e-05,26.38392266919536,42.913746,69.29782143342844,-120.36520678928461
1013500,1998-09-30,7.256584e-05,7.7850986e-05,49.83985532124837,56.086853,105.92686016413379,-83.73616805857927
1013500,1998-10-31,8.221022e-05,7.793119e-05,66.8514906360257,70.553,137.40465168902583,-52.258376533687226
1013500,1998-11-30,9.159281,0.057204742,76.98242645263672,72.87404,159.0729512110224,-30.590077011690653
1013500,1998-12-31,49.01101,0.1898554,82.02851350845829,65.578835,196.80821474459287,7.145186521879822
1013500,1999-01-31,146.78499,0.007815263,80.08032005063949,52.047882,278.92099582981865,89.2579676071056
1013500,1999-02-28,201.95683,0.0018325793,76.80525180271694,44.169186,322.93310127116536,133.2700730484523
1013500,1999-03-31,230.52829,3.5400062,77.88804257300592,47.09709,359.0534269896246,169.39039876691155
