date,prcp_mm_day,tmean_c,pet_mm_day,qobs_mm_day,sin_doy,cos_doy
1980-10-01,0.0,12.33,2.476729,0.1557575041123232,-0.99999076,0.004303454
1980-10-02,0.0,14.76,2.8475742000000004,0.15014462108124849,-0.9997685,0.021516105
1980-10-03,0.0,16.645,3.5370424,0.1375156342613304,-0.99925,0.03872238
1980-10-04,0.0,14.93,3.2773836000000003,0.12769308895694964,-0.9984354,0.05591718
1980-10-05,0.0,15.229999999999999,3.2496645,0.12769308895694964,-0.99732494,0.07309541
1980-10-06,0.0,16.65,3.2390838,0.12348342668364362,-0.9959189,0.09025198
1980-10-07,0.0,15.115,2.6620283,0.12348342668364362,-0.9942179,0.10738181
1980-10-08,0.0,14.565,2.6091046,0.11927376441033759,-0.9922222,0.124479346
1980-10-09,0.0,9.379999999999999,2.286836,0.11506410213703155,-0.9899325,0.14154047
1980-10-10,0.0,11.674999999999999,2.5125709,0.10664477759041949,-0.9873494,0.15855965
1980-10-11,0.01,10.955,2.3113143,0.10664477759041949,-0.98447376,0.17553185
1980-10-12,8.05,8.195,1.4212468999999999,0.12348342668364362,-0.9813065,0.19245155
1980-10-13,10.79,8.5,1.5933788,0.17961225699439073,-0.97784835,0.2093147
1980-10-14,6.37,7.27,1.4355332,0.20487023063422694,-0.9741004,0.22611584
1980-10-15,2.11,8.445,1.5203544,0.18943480229877147,-0.97006387,0.24284996
1980-10-16,0.0,7.76,1.7365462999999999,0.17540259472108471,-0.96573997,0.25951168
1980-10-17,0.0,8.155,1.8049689999999998,0.17540259472108471,-0.9611298,0.27609694
1980-10-18,0.0,7.265000000000001,1.5083547,0.16978971169000998,-0.9562348,0.2926004
1980-10-19,0.0,9.945,1.8909444,0.15996716638562922,-0.9510565,0.30901712
1980-10-20,2.59,10.945,1.9025846999999998,0.15014462108124849,-0.94559634,0.3253423
1980-10-21,1.83,7.205,1.4470925,0.10664477759041949,-0.93985593,0.34157106
1980-10-22,0.0,6.16,1.470137,0.14593495880794247,-0.93383723,0.35769817
1980-10-23,0.0,7.915,1.7398921000000003,0.14172529653463645,-0.9275417,0.37371975
1980-10-24,0.28,9.5,1.8480192,0.1375156342613304,-0.9209712,0.38963056
1980-10-25,8.47,5.300000000000001,1.0431099,0.18522514002546542,-0.9141279,0.40542594
1980-10-26,9.66,7.194999999999999,1.3255156000000001,0.20487023063422694,-0.90701365,0.42110115
1980-10-27,8.78,5.82,0.96311396,0.2876602553425789,-0.89963067,0.4366516
1980-10-28,0.5,7.0,1.3268790000000001,0.30028924216249697,-0.89198136,0.45207223
1980-10-29,0.0,8.59,1.7062758999999998,0.2820473723115042,-0.8840675,0.4673593
1980-10-30,0.0,8.594999999999999,1.6238928999999998,0.2876602553425789,-0.8758916,0.4825079
1980-10-31,13.5,9.24,1.3778415000000002,0.25959584018720533,-0.8674562,0.49751353
1980-11-01,23.91,9.055,0.85500103,0.34238586489555733,-0.85876375,0.5123717
1980-11-02,14.65,8.120000000000001,0.9645611,1.2404471498675107,-0.8498171,0.52707773
1980-11-03,15.66,8.91,0.90406924,0.9303353624006331,-0.8406184,0.5416279
1980-11-04,4.31,11.145,0.8903751,1.1941408648611442,-0.8311705,0.5560176
1980-11-05,4.0,13.075000000000001,1.4844438999999998,0.9064806095185656,-0.8214764,0.5702425
1980-11-06,34.73,8.945,1.0480216999999998,2.8064415155373554,-0.8115391,0.5842981
1980-11-07,50.48,10.235,1.0134658,13.428822651846245,-0.8013611,0.5981809
1980-11-08,24.79,8.0,0.80369645,11.955440856189133,-0.7909456,0.61188644
1980-11-09,18.07,7.365,0.9048627,7.900132866237655,-0.7802957,0.6254107
1980-11-10,4.43,4.22,0.9962496999999999,5.865462767473072,-0.76941466,0.6387496
1980-11-11,0.0,3.4200000000000004,0.80466187,4.26579110361678,-0.7583059,0.6518989
1980-11-12,0.0,4.055,0.9772094000000001,3.1151500822464637,-0.7469721,0.66485536
1980-11-13,0.0,2.9949999999999997,0.9517916999999999,2.4275719109398124,-0.735417,0.6776148
1980-11-14,9.92,4.04,0.9660684000000002,1.978541268453835,-0.72364396,0.6901735
1980-11-15,7.06,2.205,0.60024494,2.245153212429884,-0.71165645,0.70252764
1980-11-16,0.11,4.234999999999999,0.85239625,1.9645090608761488,-0.69945806,0.71467364
1980-11-17,11.62,2.87,0.63215584,1.7961225699439072,-0.6870525,0.7266078
1980-11-18,12.75,5.694999999999999,0.59092754,2.5257973639836195,-0.6744436,0.7383264
1980-11-19,5.93,7.485,0.7300659,3.3677298186448255,-0.6616345,0.7498265
1980-11-20,1.46,9.535,0.8734314000000001,4.770950576413504,-0.64862937,0.7611044
1980-11-21,34.43,6.605,0.5246943000000001,6.454815485735917,-0.63543206,0.7721568
1980-11-22,33.52,4.815,0.8139517,9.696255436181561,-0.6220468,0.78298
1980-11-23,9.64,2.33,0.5817171999999999,7.689649752572353,-0.6084769,0.7935716
1980-11-24,2.48,1.79,0.55093575,5.163852388588732,-0.5947266,0.803928
1980-11-25,11.09,2.6199999999999997,0.48360324,4.013211367218418,-0.5808001,0.8140462
1980-11-26,7.14,4.395,0.5626036,3.339665403489453,-0.5667019,0.8239229
1980-11-27,18.9,6.1450000000000005,0.7427635,2.876602553425789,-0.5524354,0.8335557
1980-11-28,18.2,5.54,0.66492784,4.307887726349841,-0.5380052,0.8429415
1980-11-29,21.99,3.9050000000000002,0.5751569000000001,5.893527182628445,-0.5234155,0.85207754
1980-11-30,18.67,3.01,0.6049933000000001,7.773842998038473,-0.5086708,0.8609611
1980-12-01,14.56,2.145,0.5570798,7.296747940397123,-0.4937753,0.8695895
1980-12-02,41.02,2.865,0.5244329000000001,13.218339538180944,-0.4787335,0.87796026
1980-12-03,31.76,5.065,0.77275497,17.54025947210847,-0.46354985,0.88607085
1980-12-04,14.32,1.59,0.5693246,15.435428335455452,-0.44822884,0.8939189
1980-12-05,15.15,-1.06,0.34103164,11.548506836436216,-0.43277502,0.90150195
1980-12-06,8.23,-0.355,0.44915292,8.798194151209607,-0.4171938,0.9088175
1980-12-07,0.0,-4.395,0.37305015,6.735459637289651,-0.4014881,0.9158642
1980-12-08,0.0,-3.685,0.39411795,5.248045634054853,-0.38566345,0.92263955
1980-12-09,0.0,-2.585,0.45361492,4.293855518772153,-0.36972448,0.92914146
1980-12-10,0.0,-0.33000000000000007,0.5129123,3.7465994232423694,-0.353676,0.935368
1980-12-11,0.0,0.7250000000000001,0.47118940000000004,3.4519230641109466,-0.3375227,0.9413174
1980-12-12,3.48,2.6950000000000003,0.51214343,3.2835365731787056,-0.32126933,0.94698787
1980-12-13,0.0,2.865,0.6409513000000001,3.171278912557211,-0.30492082,0.95237774
1980-12-14,0.84,2.8,0.47380865,3.0730534595134045,-0.2884824,0.9574852
1980-12-15,1.71,4.79,0.5827918000000001,3.0169246292026566,-0.27195802,0.9623091
1980-12-16,0.0,7.83,0.93352324,2.974828006469597,-0.25535306,0.9668479
1980-12-17,0.0,6.155,0.85347545,2.876602553425789,-0.23867245,0.97110015
1980-12-18,0.33,2.58,0.49943662,2.708216062493548,-0.22192112,0.97506464
1980-12-19,0.82,0.8200000000000001,0.38878807,2.497732948828246,-0.20510447,0.9787401
1980-12-20,14.32,2.79,0.42028183,2.4556363260951857,-0.1882266,0.98212564
1980-12-21,34.35,5.255,0.42855418,4.307887726349841,-0.17129341,0.9852201
1980-12-22,45.45,8.285,0.50483257,15.99671663856292,-0.15430899,0.9880226
1980-12-23,14.97,5.93,0.6025334,16.698327017447262,-0.13727885,0.99053246
1980-12-24,30.04,5.484999999999999,0.48115119999999995,14.87414003234798,-0.12020804,0.99274874
1980-12-25,61.65,8.925,0.61275876,31.011178746687776,-0.103101596,0.9946708
1980-12-26,46.52,10.614999999999998,0.5814782,41.11436820262225,-0.085964605,0.9962982
1980-12-27,18.8,8.71,0.67344975,32.13375535290271,-0.06880214,0.9976303
1980-12-28,2.31,7.465,0.88930094,20.627345139199555,-0.05161929,0.9986668
1980-12-29,5.45,6.035,0.8094686,13.849788879176845,-0.034421146,0.9994074
1980-12-30,33.11,5.495,0.5114567,13.569144727623112,-0.017212797,0.9998518
1980-12-31,19.28,5.76,0.6791858000000001,11.604635666746962,6.5168274e-07,1.0
1981-01-01,0.1,5.775,0.67692816,9.078838302763344,0.0,1.0
1981-01-02,0.0,7.23,0.9292905,7.26868352524175,0.017213358,0.9998518
1981-01-03,0.0,6.324999999999999,0.90238184,5.96368822051688,0.03442161,0.9994074
1981-01-04,0.0,3.9749999999999996,0.65250397,4.967401482501119,0.051619668,0.9986668
1981-01-05,0.0,4.1899999999999995,0.68407553,4.279823311194467,0.06880243,0.9976303
1981-01-06,4.08,6.114999999999999,0.86663556,3.732567215664682,0.08596481,0.9962982
1981-01-07,0.0,5.37,0.70764875,3.3256331959117658,0.1031017,0.9946708
1981-01-08,0.05,5.335000000000001,0.7864701999999999,3.0169246292026566,0.120208055,0.99274874
1981-01-09,3.5,4.61,0.585505,2.736280477648921,0.13727878,0.99053246
1981-01-10,0.0,5.305,0.8033043000000001,2.4837007412505594,0.15430883,0.9880227
1981-01-11,0.0,3.42,0.71925944,2.3153142503183184,0.17129315,0.98522013
1981-01-12,0.0,2.1550000000000002,0.709833,2.17499217454145,0.18822673,0.9821256
