gage_id,gage_name,huc,lat,lon,area_km2,frac_snow,aridity,elev_mean,frac_forest,soil_depth_statsgo,INSC_wavg,COEF_wavg,SQ_wavg,SMSC_wavg,SUB_wavg,CRAK_wavg,K_wavg,LG_wavg,TT_wavg,CFMAX_wavg,CFR_wavg,CWH_wavg,route_a,route_b,lg_dyn_mean_wavg,lg_dyn_std_wavg,snowpack_mean,soil_moisture_mean,groundwater_mean,snowfall_mean,rainfall_mean,snowmelt_mean,interception_evaporation_mean,actual_et_mean,infiltration_mean,recharge_to_groundwater_mean,surface_runoff_mean,interflow_mean,baseflow_mean,groundwater_loss_mean,total_unrouted_q_mean,interception_storage_mean,delta_storage_mean,channel_loss_mean,total_simulated_discharge_mean,groundwater_contribution_fraction_mean,groundwater_loss_fraction_mean,runoff_ratio_mean,et_ratio_mean,baseflow_index_mean,water_balance_closure_mean,NSE,KGE,logNSE,lowflow_NSE,dry_day_accuracy,recession_slope_obs,recession_slope_sim,recession_slope_error,water_balance_error_mean,observed_bfi_lh,sim_bfi_mean
1013500,"                  Fish River near Fort Kent, Maine",1,47.23739,-68.58264,2252.7,0.313440357191799,0.63055865946247,250.31,0.9063,1.24840792462702,1.1824455,225.19022,2.908507,117.896484,0.3122695,0.6572762,0.12338731,0.007435581,-0.123537764,2.7362733,0.03740722,0.010756402,2.4155376,0.53660285,0.0049044904,0.0016440379,66.71944,63.7435,23.85082,0.8798364,2.2885318,0.8928683,0.3884478,1.3023313,2.4955006,0.7879168,0.2846243,0.3940246,0.7794114,0.006170037,1.4580628,0.0,0.014292862,0.0,1.4566127,0.81631696,0.018194195,2.7481184,2.9373121,0.7102309,0.38893762,0.6977694034576416,0.7903638826524044,0.09311908483505249,-11.230509757995605,0.9310093082679322,-0.033901456743478775,-0.07665111124515533,0.04274965450167656,0.88209045,0.55083823,0.7102309
1022500,"           Narraguagus River at Cherryfield, Maine",1,44.60797,-67.93524,573.6,0.245259009248271,0.587356423405076,92.68,0.9232,1.49184551626462,1.121553,225.63191,2.5469825,152.3295,0.25096756,0.6687088,0.10799827,0.012555716,-0.07150374,3.226833,0.040146254,0.01277748,1.9514407,0.4932944,0.006432809,0.0020998665,32.984844,85.069496,32.874794,0.7416708,2.9226942,0.75685376,0.3421182,1.4187531,2.9395108,1.0843191,0.38295576,0.42917508,1.0734584,0.009494262,1.88559,0.0,0.009126396,0.0,1.8853859,0.8379156,0.016024135,3.8452885,2.977204,0.72970885,0.3415768,0.7620384395122528,0.7241128482303385,0.7370204925537109,-1.3561491966247559,0.9945245482752327,-0.09015124291181564,-0.08746622502803802,0.0026850178837776184,1.0071139,0.4538589,0.72970885
1030500,"       Mattawamkeag River near Mattawamkeag, Maine",1,45.50097,-68.30596,3676.17,0.27701840295357,0.624111385131731,143.8,0.8782,1.46136319457164,1.2719059,237.88182,2.7994456,131.3653,0.28123087,0.65817237,0.109338954,0.0074984543,-0.09244093,2.6953976,0.03853077,0.011981017,2.5817986,0.806803,0.0059246793,0.0019407095,49.41579,70.987236,41.944523,0.7854368,2.5509813,0.80105966,0.42344165,1.344907,2.5688841,0.83514106,0.34430268,0.3838507,0.8271331,0.0067115654,1.5552878,0.0,0.0067602005,0.0,1.5548275,0.8228292,0.013968907,3.4448695,3.7484353,0.69259197,0.4231872,0.7908731549978256,0.7259783332119777,0.6804129779338837,-6.621835708618164,0.96094177769666,-0.07109367847442627,-0.06962565332651138,0.0014680251479148865,1.119264,0.42765486,0.69259197
1031500,"      Piscataquis River near Dover-Foxcroft, Maine",1,45.17501,-69.3147,769.05,0.291836473001958,0.587950340389816,247.8,0.9548,1.27904687474352,0.974222,211.19446,2.8116572,120.96277,0.2573601,0.60744274,0.15334496,0.0035179579,-0.18115401,2.8514256,0.03545576,0.0055709286,1.7889062,0.16307984,0.0023958639,0.0006112569,54.18402,66.68432,17.107168,0.85729694,2.7638757,0.8672948,0.32106677,1.4716656,2.869014,0.99810445,0.43130153,0.3923943,0.99399316,0.0029569105,1.8176906,0.0,0.008220919,0.0,1.8175495,0.8284879,0.008792379,2.2228522,2.0188081,0.75408214,0.3207514,0.7906877249479294,0.7420928449027553,0.5422347486019135,-6.825605392456055,0.9012593538966964,-0.1115034818649292,-0.13306917250156403,0.021565690636634827,0.7171271,0.3489553,0.75408214
1047000,"        Carrabassett River near North Anson, Maine",1,44.8692,-69.9551,909.1,0.280118126940736,0.628929335570973,310.38,0.9906,1.39277854918445,0.8809443,217.16437,2.5967247,118.320496,0.27000254,0.66539514,0.1277792,0.0025004512,-0.042443782,3.0372355,0.037228636,0.0047675744,1.6950973,0.15345584,0.0026388282,0.0007688204,51.032658,60.827682,20.898354,0.832258,2.617904,0.8412816,0.2794807,1.4473159,2.784866,0.94221973,0.38602638,0.38825035,0.93792695,0.0025696403,1.7122048,0.0,0.008960566,0.0,1.7120754,0.84089696,0.006727903,3.5050035,3.393293,0.77578044,0.27921176,0.7281041741371155,0.6258542211832638,0.5241993963718414,-2.199279308319092,0.9594816572367221,-0.09781945496797562,-0.11264319717884064,0.01482374221086502,0.6160896,0.37694708,0.77578044
1052500,"         Diamond River near Wentworth Location, NH",1,44.87739,-71.05749,383.82,0.352698254049326,0.561914458543945,615.7,1.0,1.49480743438006,0.84979475,208.22488,2.8103693,93.13144,0.26103204,0.63548744,0.16708033,0.0011740401,-0.11088087,2.9356456,0.03604504,0.0029523661,1.4560969,0.06894164,0.0009971121,0.00023331943,84.33051,53.1297,12.887593,1.185536,2.5960863,1.1937081,0.2961118,1.4551073,3.0088391,1.138785,0.47687387,0.41025642,1.1364185,0.001085576,2.0235505,0.0,0.0060519213,0.0,2.023423,0.82049465,0.0059915944,1.813289,1.4399495,0.7731213,0.29593095,0.74362713098526,0.7216631189321951,-0.326473593711853,-6.120427131652832,0.8733345501003833,-0.12252860516309738,-0.16198302805423737,0.039454422891139984,0.48938823,0.3638517,0.7731213
1054200,"                       Wild River at Gilead, Maine",1,44.39044,-70.97964,180.98,0.299641539662879,0.523306104932953,472.31,1.0,1.47744219768239,0.8407948,200.99776,2.5747824,120.14548,0.24091202,0.64092577,0.14117776,0.0018060367,-0.083800524,3.115258,0.03963821,0.0037677786,0.94994843,0.07007271,0.0020006972,0.00052969705,67.622925,69.40244,21.069921,1.099424,3.166426,1.1091422,0.28926846,1.5517708,3.3730881,1.3357135,0.6037007,0.48181185,1.3327237,0.0019033677,2.4182372,0.0,0.004956266,0.0,2.4181867,0.8261564,0.003870541,1.4152403,1.0149218,0.79345524,0.28900525,0.6359082758426666,0.6246419612247422,0.47928953170776367,-5.447540760040283,0.9733528016061325,-0.1144104078412056,-0.13568902015686035,0.021278612315654755,0.45550907,0.35476932,0.79345524
1055000,"                   Swift River near Roxbury, Maine",1,44.64275,-70.58878,250.64,0.306048851694867,0.599062793707035,423.12,0.9916,1.36965658300731,0.8580004,201.12727,2.8795757,102.84841,0.24054441,0.61672765,0.16997775,0.0015116186,-0.17347115,3.0663443,0.037223533,0.003363374,1.2282753,0.06233696,0.0024035596,0.00067824166,58.421677,55.891243,11.127467,0.93528956,2.6858797,0.94276655,0.283188,1.4594197,2.8206532,0.9992248,0.5175365,0.35601494,0.9961991,0.0019575895,1.8697522,0.0,0.007188664,0.0,1.8696892,0.8321551,0.009342079,2.2242537,2.1506057,0.78852165,0.2828873,0.6563977897167206,0.6496691678215143,0.13011503219604492,-3.103522777557373,0.8800876072275963,-0.13157641887664795,-0.16638344526290894,0.034807026386260986,0.46561703,0.34723637,0.78852165
1057000," Little Androscoggin River near South Paris, Maine",1,44.30399,-70.53968,190.92,0.251157672769098,0.597323619284961,215.59,0.9415,1.50000001490116,0.8868934,216.12045,2.4824734,140.04045,0.22371003,0.60726655,0.12109658,0.0014992389,-0.0049221516,2.870799,0.03729681,0.0036446035,1.574552,0.11229617,0.00412237,0.0011514089,45.62252,74.86002,32.147625,0.8201618,2.9817905,0.8263353,0.28883275,1.5517985,3.0242538,1.0922736,0.48908046,0.37466425,1.0874023,0.0028108063,1.951148,0.0,0.007680989,0.0,1.9510888,0.8463041,0.0049589532,1.569137,1.4626307,0.79183924,0.28854284,0.7682467550039291,0.8839328727165646,0.6397192776203156,-4.565352916717529,0.9377623653951451,-0.12516313791275024,-0.10125856101512909,0.023904576897621155,0.61117166,0.3867246,0.79183924
1073000,"                      OYSTER RIVER NEAR DURHAM, NH",1,43.1487,-70.96506,31.3,0.17503243505174,0.63020261356176,37.67,0.9008,1.30561961742887,1.0547222,219.58395,2.38986,160.22897,0.2259232,0.6148748,0.12065749,0.007580449,-0.17626679,3.2019296,0.041196372,0.00892331,1.4612375,0.25708377,0.011384811,0.004142371,14.287539,84.88297,24.391655,0.5364017,3.1915307,0.54255766,0.29695457,1.6338665,3.062336,1.054894,0.36887348,0.3741557,1.0454336,0.009482627,1.7884635,0.0,-0.0002455359,0.0,1.7884253,0.8489483,0.017992223,1.1079468,1.6709695,0.7797036,0.2963702,0.8612817972898483,0.8513201989065917,0.7092349529266357,-8.946637153625488,0.9056397152765103,-0.15330949425697327,-0.1121402233839035,0.04116927087306976,0.6711733,0.3889291,0.7797036
